development_cohort,external_cohort,measure,feature,development_value,external_value,shift_value,status
cleveland,va,missingness,age,0.0,0.0,0.0,available
cleveland,va,missingness,sex,0.0,0.0,0.0,available
cleveland,va,missingness,cp,0.0,0.0,0.0,available
cleveland,va,missingness,trestbps,0.0,0.28,0.28,available
cleveland,va,missingness,chol,0.0,0.035,0.035,available
cleveland,va,missingness,fbs,0.0,0.035,0.035,available
cleveland,va,missingness,restecg,0.0,0.0,0.0,available
cleveland,va,missingness,thalach,0.0,0.265,0.265,available
cleveland,va,missingness,exang,0.0,0.265,0.265,available
cleveland,va,missingness,oldpeak,0.0,0.28,0.28,available
cleveland,va,missingness,slope,0.0,0.51,0.51,available
cleveland,va,missingness,ca,0.013201320132013201,0.99,0.9767986798679867,available
cleveland,va,missingness,thal,0.006600660066006601,0.83,0.8233993399339934,available
cleveland,va,standardized_mean_difference,age,54.43894389438944,59.35,0.5813630513063012,available
cleveland,va,standardized_mean_difference,trestbps,131.68976897689768,133.76388888888889,0.10545898722842281,available
cleveland,va,standardized_mean_difference,chol,246.69306930693068,178.7461139896373,-0.7672631705229931,available
cleveland,va,standardized_mean_difference,thalach,149.6072607260726,122.79591836734694,-1.1949597180232265,available
cleveland,va,standardized_mean_difference,oldpeak,1.0396039603960396,1.3208333333333333,0.24800048225142537,available
cleveland,va,total_variation_distance,sex,,,0.2901320132013201,available
cleveland,va,total_variation_distance,cp,,,0.17975247524752477,available
cleveland,va,total_variation_distance,fbs,,,0.2264851485148515,available
cleveland,va,total_variation_distance,restecg,,,0.45179867986798683,available
cleveland,va,total_variation_distance,exang,,,0.4132673267326733,available
cleveland,va,total_variation_distance,slope,,,0.5856930693069307,available
cleveland,va,total_variation_distance,ca,,,0.9767986798679867,available
cleveland,va,total_variation_distance,thal,,,0.8233993399339934,available
